CONTROLE FINANCEIRO 2026,,,,,,,,,,,
ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,
,,,,,,,,,,,
SALDO,"-R$ 449,00",SALDO,"-R$ 1 007,00",SALDO,"R$ 127,90",SALDO,"-R$ 251,04",SALDO,"R$ 622,92",SALDO,"R$ 798,92"
JULHO,,AGOSTO,,SETEMBRO,,OUTUBRO,,NOVEMBRO,,DEZEMBRO,
CARRO 26(48),"R$ 605,00",CARRO 27(48),"R$ 605,00",CARRO 28(48),"R$ 605,00",CARRO 29(48),"R$ 605,00",CARRO 30(48),"R$ 605,00",CARRO 30(48),"R$ 605,00"
SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00"
CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00"
VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00"
BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00"
INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00"
CAROL 8(8),"R$ 135,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00"
GÁS ,"R$ 35,00",MOCHILA ESCOLAR 7(10),"R$ 54,00",MOCHILA ESCOLAR 8(10),"R$ 54,00",MOCHILA ESCOLAR 9(10),"R$ 54,00",MOCHILA ESCOLAR 10(10),"R$ 54,00",FINANCIAMENTO,"R$ 1 400,00"
MOCHILA ESCOLAR 6(10),"R$ 54,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00",CLARO LUCAS ,"R$ 56,00"
FINANCIAMENTO,"R$ 1 400,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00",PENSÃO,"R$ 730,00"
CLARO LUCAS ,"R$ 56,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00",CONDOMINIO ,"R$ 411,29"
PENSÃO,"R$ 730,00",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29",CPFL ,"R$ 292,96"
CONDOMINIO ,"R$ 411,29",CPFL ,"R$ 292,96",CPFL ,"R$ 292,96",CPFL ,"R$ 292,96",CPFL ,"R$ 292,96",FACULDADE LUCAS,"R$ 130,00"
